essay_id,sentence_id,sentence,label
essay_00001,s000009,well why does anyone pursue a higher education?,0
essay_00001,s000010,to better one self and be able to succeed later on in life.,0
essay_00001,s000011,"ever since i was little i wanted to be a doctor, so much so that i can't see myself doing anything else.",1
essay_00002,s000015,i mean my mother wouldn't have been on a boat for 2 weeks for me to not work hard for a better life.,0
essay_00002,s000018,"i am also here because the formula to being successful is getting knowledge to do better, be better and to reinvent.",0
essay_00004,s000029,i have always valued my education and i think its definitely the most important thing in my life.,0
essay_00005,s000033,understand my purpose.,0
essay_00007,s000045,why am i here at sfsu?,0
essay_00007,s000046,why am i here on earth?,0
essay_00007,s000047,i believe i am definitely here for a reason.,0
essay_00007,s000048,i think the reason goes beyond me though.,0
essay_00007,s000049,i believe every single person is here only to have impact on others.,0
essay_00007,s000050,we as humans are all doing the same thing.,0
essay_00007,s000051,"people can say that each person has a different purpose in life, but we all have the one similarity of impacting others.",0
essay_00007,s000052,"i think i have changed the life of all my friends and family, whether it is for the better or the worse, i have had a big impact.",0
essay_00007,s000053,i think every single person in my life has had an impact on me as well.,0
essay_00007,s000054,i think i was put here to make my parents' lives better as well as the rest of my friends and family.,0
essay_00007,s000055,people just live life and go through certain situations but every single event is due to another person's action along with your own.,0
essay_00007,s000056,i am here to better my life and prepare for the future.,0
essay_00007,s000057,why am i specifically in this astronomy lab?,0
essay_00007,s000058,i believe the original idea was just to get my ge's and this lab sounded interesting as well as the introduction to astronomy lab.,0
essay_00007,s000059,but now i think i am here to learn something important that i can use for the rest of my life.,0
essay_00007,s000060,"i think everything happens for a reason, so there must be something to get out of this class.",0
essay_00007,s000061,i think this class can prepare me for the future as much as any other class.,0
essay_00008,s000062,i am here to better myself and hopefully give myself a better future.,1
essay_00008,s000063,i am in this class because i want to pass physics and getting an a is part of that journey.,1
essay_00009,s000066,"to make a better future for myself and ultimately the world, as cheesy as that sounds.",0
essay_00009,s000068,science is the only thing that makes sense to me sometimes.,0
essay_00009,s000069,whenever im struggling i know i can fall back on science.,0
essay_00011,s000076,i am here at sfsu for a better future.,0
essay_00011,s000078,to achieve goals such as open up a homeless shelter pay for a house for my mother so that she doesn't have to work another day in her life.,1
essay_00011,s000079,"i aspire to become a doctor because i know that not only can i change my life, families, but also the people around me.",1
essay_00013,s000082,"i am here for many reasons: make myself proud happy getting education is a priveledge, knowledge is power!",0
essay_00013,s000083,lowkey school makes me happy.,0
essay_00013,s000085,"by going to school teaching this class, i am able to gain perspectives sufficient knowledge to provide a helping hand to all.",0
essay_00013,s000087,somewhow i will accomplish that by finding myself learning from others.,0
essay_00015,s000095,because i'm stressed about physics and i have no idea what's going on in class.,0
essay_00015,s000096,i'm taking this class to get a good grade in physics and to understand the material.,0
essay_00015,s000097,i'm taking phys 111 112 lab and lec.,0
essay_00015,s000098,i have 3 labs a week so it's hard trying to understand all the material.,0
essay_00015,s000099,all of my classes are super stressful and i have the busiest schedule of my life.,0
essay_00015,s000100,on top of that i'm an ra as well so that's always stressful.,0
essay_00015,s000102,also doubting if i'm good enough or smart enough to excel at all these things at once.,0
essay_00015,s000103,my intelligence is always questioned anywhere i go or any class i'm in so it's hard to stay motivated or drive to succeed because you feel like you're not enough.,0
essay_00017,s000109,i'm bad at math and physics is math.,0
essay_00017,s000110,here to get a kin degree bc i find the subject interesting and i want to help people.,1
essay_00018,s000111,i feel the importance of me being here is to better myself.,1
essay_00018,s000112,over time i actually didn't know if i would end up here but i love to be here.,0
essay_00018,s000113,my dream is to get my masters and phd in psychology and i feel so much closer to that goal then any before.,1
essay_00018,s000114,gives me a clear view of what i want in life.,0
essay_00019,s000115,"i am in this sci 111 class, because i have never taken physics in high school and i know that physics requires a lot of math in which i am very weak in.",0
essay_00019,s000116,"i hope to receive a lot of practice problems, since i learned better by doing than just watching.",0
essay_00019,s000117,"i also really want to understand the basic concepts of physics, because i will be taking physics 2 next semester.",0
