essay_id,essay
essay_00000,"why am i here? i dont know exactly, i dont think i am here for any specific reason that i know of. i do also think that im not here to just be a blob and not do anything productive in society as well as not do anything for my lifes purpose. i do hope to be successful within myself and my capabilities. not as much as successful with money but more towards helping others. i naturally enjoy helping other people and helping people in need. but in the smaller picture in this class i am here because i need this class as a requirement to be able to graduate and get my degree and move onto my career. so ill be able to get on with my future life goals, and succeed for my purpose in my life. i also do hope to be able to make contributions to help better my family."
essay_00001,"well why does anyone pursue a higher education? to better one self and be able to succeed later on in life. ever since i was little i wanted to be a doctor, so much so that i can't see myself doing anything else. i always wanted to be able to help people and i always had an intrest in medicine and the human body. i guess i here so i'll be able to help people in the future."
essay_00002,"i'm here because my parents came here during the vietnam war for a better life. i mean my mother wouldn't have been on a boat for 2 weeks for me to not work hard for a better life. she made a lot of sacrifices for me to be here. i guess you can say the same for my fathers sacrifices i am to be here as well. i am also here because the formula to being successful is getting knowledge to do better, be better and to reinvent. i am here because i saw my mother struggle to feed my 7 siblings i. i'm here because i don't want to be poor."
essay_00003,"i am here because i want to better myself my family, not only financially but in health. being in this instituion will pave a way for me to become a professional. i know that as a child i never thought of education and a career for someone who is undocumented. i hope to reach a position in which i can inspire and prove to all of the ""immigrants"" in the usa that achieving and surpassing struggle is possible. also, statistics have shown that people with higher education and wealth tend to be healthier. with my career diploma i can improve my health the health of my family."
essay_00004,"i am here at sfsu because i am a first generation student and i want to break the cycle in my family of not going to college. school has always helped me escape the hard things i live through everday. as the oldest of 3 siblings, i want to be a role model and set a good example for my siblings. i have always valued my education and i think its definitely the most important thing in my life. i want to help my community while i'm here and become a better version of me."
essay_00005,i am here to help myself grow. learn and apply my skills to progress towards my career goal. understand my purpose. meet people who have (similar) aspirationsgoals network be helpful to experience explore improve
essay_00006,"that depends how you define here. why am i here in sci 111? i'm here in sci 111 because i want to successed in phys 111. more specifically i would like to be able to thrive not just survive. the road to success was always college. you need to get a degree to get where you want to go. specifically to me, my reasons for being here now have change. i'm now here to better myself whereas before it felt like i was blindly following. why am i here in stem? i can't really think of where else i would be."
essay_00007,"why am i here at sfsu? why am i here on earth? i believe i am definitely here for a reason. i think the reason goes beyond me though. i believe every single person is here only to have impact on others. we as humans are all doing the same thing. people can say that each person has a different purpose in life, but we all have the one similarity of impacting others. i think i have changed the life of all my friends and family, whether it is for the better or the worse, i have had a big impact. i think every single person in my life has had an impact on me as well. i think i was put here to make my parents' lives better as well as the rest of my friends and family. people just live life and go through certain situations but every single event is due to another person's action along with your own. i am here to better my life and prepare for the future. why am i specifically in this astronomy lab? i believe the original idea was just to get my ge's and this lab sounded interesting as well as the introduction to astronomy lab. but now i think i am here to learn something important that i can use for the rest of my life. i think everything happens for a reason, so there must be something to get out of this class. i think this class can prepare me for the future as much as any other class."
essay_00008,"i am here to better myself and hopefully give myself a better future. i am in this class because i want to pass physics and getting an a is part of that journey. also the reason why i am here in san francisco is to experience new things and figure myself out. im a psychology major, however im unsure what exactly i want to do with that, therefore im taking a physics class which pretty unecessary for my major."
essay_00009,"to make a better future for myself and ultimately the world, as cheesy as that sounds. im a very passionate person and thats why im here, to put this passion into my school to later help people. science is the only thing that makes sense to me sometimes. whenever im struggling i know i can fall back on science. to give you a better example, when in conversation with people and i feel as if i dont know what to say, i know i always have biology to talk about and take me back to my safe zone."
