essay_id,sentence_id,sentence,Aspirational,Attainment,Community_Consciousness,Familial,Filial_Piety,First_Generation,Navigational,Perseverance,Resistance,Social,Spiritual,class_0
essay_00000,s000000,why am i here?,0,0,0,0,0,0,0,0,0,0,0,1
essay_00000,s000001,"i dont know exactly, i dont think i am here for any specific reason that i know of.",0,0,0,0,0,0,0,0,0,0,0,1
essay_00000,s000002,i do also think that im not here to just be a blob and not do anything productive in society as well as not do anything for my lifes purpose.,0,0,0,0,0,0,0,0,0,0,0,1
essay_00000,s000003,i do hope to be successful within myself and my capabilities.,0,0,0,0,0,0,0,0,0,0,0,1
essay_00000,s000004,not as much as successful with money but more towards helping others.,0,0,0,0,0,0,0,0,0,0,1,0
essay_00000,s000005,i naturally enjoy helping other people and helping people in need.,0,0,0,0,0,0,0,0,0,0,1,0
essay_00000,s000006,but in the smaller picture in this class i am here because i need this class as a requirement to be able to graduate and get my degree and move onto my career.,0,1,0,0,0,0,1,0,0,0,0,0
essay_00000,s000007,"so ill be able to get on with my future life goals, and succeed for my purpose in my life.",0,0,0,0,0,0,0,0,0,0,0,1
essay_00000,s000008,i also do hope to be able to make contributions to help better my family.,0,0,0,0,0,0,0,0,0,0,0,1
essay_00001,s000009,well why does anyone pursue a higher education?,0,0,0,0,0,0,0,0,0,0,0,1
essay_00001,s000010,to better one self and be able to succeed later on in life.,0,0,0,0,0,0,0,0,0,0,0,1
essay_00001,s000011,"ever since i was little i wanted to be a doctor, so much so that i can't see myself doing anything else.",0,1,0,0,0,0,0,0,0,0,0,0
essay_00001,s000012,i always wanted to be able to help people and i always had an intrest in medicine and the human body.,0,0,0,0,0,0,0,0,0,0,1,0
essay_00001,s000013,i guess i here so i'll be able to help people in the future.,0,0,0,0,0,0,0,0,0,0,1,0
essay_00004,s000026,i am here at sfsu because i am a first generation student and i want to break the cycle in my family of not going to college.,1,0,0,0,1,1,0,0,0,0,0,0
essay_00004,s000027,school has always helped me escape the hard things i live through everday.,0,0,1,0,0,0,0,1,0,0,0,0
essay_00004,s000028,"as the oldest of 3 siblings, i want to be a role model and set a good example for my siblings.",1,0,0,0,1,1,0,0,0,0,0,0
essay_00004,s000029,i have always valued my education and i think its definitely the most important thing in my life.,0,0,0,0,0,0,0,0,0,0,0,1
essay_00004,s000030,i want to help my community while i'm here and become a better version of me.,1,0,1,0,0,0,0,0,0,0,0,0
essay_00005,s000031,i am here to help myself grow.,1,0,0,0,0,0,0,0,0,0,0,0
essay_00005,s000032,learn and apply my skills to progress towards my career goal.,1,0,0,0,0,0,1,0,0,0,0,0
essay_00005,s000033,understand my purpose.,0,0,0,0,0,0,0,0,0,0,0,1
essay_00005,s000034,meet people who have (similar) aspirationsgoals network be helpful to experience explore improve,0,0,0,0,0,0,0,0,0,1,0,0
essay_00006,s000035,that depends how you define here.,0,0,0,0,0,0,0,0,0,0,0,1
essay_00006,s000036,why am i here in sci 111?,0,0,0,0,0,0,0,0,0,0,0,1
essay_00006,s000037,i'm here in sci 111 because i want to successed in phys 111.,1,0,0,0,0,0,0,0,0,0,0,0
essay_00006,s000038,more specifically i would like to be able to thrive not just survive.,0,0,0,0,0,0,0,0,0,0,0,1
essay_00006,s000039,the road to success was always college.,0,0,0,0,0,0,0,0,0,0,0,1
essay_00006,s000040,you need to get a degree to get where you want to go.,0,0,0,0,0,0,0,0,0,0,0,1
essay_00006,s000041,"specifically to me, my reasons for being here now have change.",0,0,0,0,0,0,0,0,0,0,0,1
essay_00006,s000042,i'm now here to better myself whereas before it felt like i was blindly following.,1,0,0,0,0,0,0,0,0,0,0,0
essay_00006,s000043,why am i here in stem?,0,0,0,0,0,0,0,0,0,0,0,1
essay_00006,s000044,i can't really think of where else i would be.,0,0,0,0,0,0,0,0,0,0,0,1
essay_00007,s000045,why am i here at sfsu?,0,0,0,0,0,0,0,0,0,0,0,1
essay_00007,s000046,why am i here on earth?,0,0,0,0,0,0,0,0,0,0,0,1
essay_00007,s000047,i believe i am definitely here for a reason.,0,0,0,0,0,0,0,0,0,0,0,1
essay_00007,s000048,i think the reason goes beyond me though.,0,0,0,0,0,0,0,0,0,0,0,1
essay_00007,s000049,i believe every single person is here only to have impact on others.,0,0,0,0,0,0,0,0,0,0,0,1
essay_00007,s000050,we as humans are all doing the same thing.,0,0,0,0,0,0,0,0,0,0,0,1
essay_00007,s000051,"people can say that each person has a different purpose in life, but we all have the one similarity of impacting others.",0,0,0,0,0,0,0,0,0,0,0,1
essay_00007,s000052,"i think i have changed the life of all my friends and family, whether it is for the better or the worse, i have had a big impact.",0,0,0,0,0,0,0,0,0,0,0,1
essay_00007,s000053,i think every single person in my life has had an impact on me as well.,0,0,0,0,0,0,0,0,0,0,0,1
essay_00007,s000054,i think i was put here to make my parents' lives better as well as the rest of my friends and family.,0,0,0,0,0,0,0,0,0,0,0,1
essay_00007,s000055,people just live life and go through certain situations but every single event is due to another person's action along with your own.,0,0,0,0,0,0,0,0,0,0,0,1
essay_00007,s000056,i am here to better my life and prepare for the future.,0,0,0,0,0,0,0,0,0,0,0,1
essay_00007,s000057,why am i specifically in this astronomy lab?,0,0,0,0,0,0,0,0,0,0,0,1
essay_00007,s000058,i believe the original idea was just to get my ge's and this lab sounded interesting as well as the introduction to astronomy lab.,0,0,0,0,0,0,0,0,0,0,0,1
essay_00007,s000059,but now i think i am here to learn something important that i can use for the rest of my life.,0,0,0,0,0,0,0,0,0,0,0,1
essay_00007,s000060,"i think everything happens for a reason, so there must be something to get out of this class.",0,0,0,0,0,0,0,0,0,0,0,1
essay_00007,s000061,i think this class can prepare me for the future as much as any other class.,0,0,0,0,0,0,0,0,0,0,0,1
